STA_SEQ,Station_Na,YLat,XLong,BCG,CountOfNom,HydroID,Strahler,StrMi,SqMi,Dam,Div,ICCnt,ICSum,POTW,IC_Avg,SD_Pct,Q99,DIV_CFS,POTW_CFS,DivQ99,POTWQ99,DamStrMi,ICMetric,DIVMetric,DAMMetric,STPMetric,SumMetric,HSI
14845,Bull Mountain Brook,41.6782,-73.4515,3,1,103010288,3,4.23,1.933583425,1.0,0.0,5719.0,1810.0,0.0,0.31648889665999996,0.5872976378,0.014946761930000002,0.0,0.0,0.0,0.0,0.23640661938000002,1.0,1.0,3.0,1.0,6.0,2.0
16336,Hatchery Brook,41.622,-72.7697,4,2,106002542,2,4.59,2.01,0.0,1.29,5876.0,41247.0,0.0,7.019571136830001,62.6865671642,0.16468237543,1.9959249584999998,0.0,12.119845571199999,0.0,0.0,3.0,3.0,1.0,1.0,8.0,2.0
17061,SPRING LOT BROOK,41.3019,-72.4569,4,2,104001611,2,3.498314,2.011556,0.0,0.82,5788.0,11919.0,0.0,2.05926053905,9.31169701465,0.06308384861,1.2687274929999999,0.0,20.1117642777,0.0,0.0,2.0,3.0,1.0,1.0,7.0,2.0
14453,Spruce Brook,41.4562,-73.0626,3,1,103015370,2,4.57,2.023196025,0.0,0.0,5956.0,1577.0,0.0,0.26477501679000004,0.18349953756999998,0.008789286629999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16136,Wintergreen Brook,41.3458,-72.9585,4,1,104001217,2,4.475965,2.069019,1.0,0.0,5944.0,25674.0,0.0,4.31931359354,0.53837108311,0.01553157573,0.0,0.0,0.0,0.0,0.22341550928000004,2.0,1.0,3.0,1.0,7.0,2.0
16345,Sasco Brook tributary to,41.1817,-73.3142,3,1,102001474,3,6.92,2.091226,0.0,0.0,6249.0,17929.0,0.0,2.8690990558499996,0.0,0.00211299669,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0
16080,West Branch Salmon Brook,41.9745,-72.896,2,1,105000769,3,7.82,2.12978,1.0,0.0,6550.0,8198.0,0.0,1.25160305344,14.9636069974,0.08586120796,0.0,0.0,0.0,0.0,0.12787723785,1.0,1.0,3.0,1.0,6.0,2.0
16078,South Mountain Brook,41.6621,-72.947,3,1,105001033,2,4.54,2.16,1.0,0.0,6284.0,116998.0,0.0,18.618395926199998,1.38888888889,0.02637678873,0.0,0.0,0.0,0.0,0.22026431718000003,3.0,1.0,3.0,1.0,8.0,2.0
16679,Fry Brook,41.6831,-71.9058,3,2,109003611,2,5.313127,2.166638,0.0,0.0,6237.0,25497.0,0.0,4.08802308802,9.246952945730001,0.06879418555,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0
15990,Spice Brook,41.8459,-72.3865,3,2,107002132,2,4.24763,2.184301,0.0,0.0,6289.0,20109.0,0.0,3.1974876769,8.99040806373,0.06849801298,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0
15244,Cobble Brook,41.7217,-73.4572,3,1,103009189,3,5.68,2.199466676,0.0,0.25,6551.0,2724.0,0.0,0.41581437948,1.3639670165200002,0.026718264649999997,0.3868071625,0.0,14.4772561985,0.0,0.0,1.0,3.0,1.0,1.0,6.0,2.0
19017,Todd Hollow Brook,41.654345,-73.036215,5,1,103011005,2,5.83,2.237197865,0.0,0.0,6822.0,16965.0,0.0,2.48680738786,1.964692237,0.032779970750000005,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,5.0,1.0
14858,Flat Brook,41.6801,-72.4673,2,1,106002914,2,6.42,2.24,1.0,0.0,6597.0,11753.0,0.0,1.7815673791099997,2.2595258352700003,0.035225295,0.0,0.0,0.0,0.0,0.15576323987,1.0,1.0,3.0,1.0,6.0,2.0
16114,Rugg Brook,41.9328,-73.1214,2,3,105001823,2,4.62,2.25,0.0,0.0,6558.0,1547.0,0.0,0.23589508996999997,0.44444444444,0.015613147439999999,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16122,Early Brook,41.4978,-72.3435,2,2,106001719,2,5.69,2.286043,0.0,0.0,6698.0,1827.0,0.0,0.27276799044,4.42730036705,0.05066692786,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
14128,Bantam River,41.6884,-73.2668,3,2,103010096,2,6.94,2.2896100187,1.0,0.0,7268.0,7470.0,0.0,1.02779306549,5.96924094644,0.05900881766,0.0,0.0,0.0,0.0,0.14409221902,1.0,1.0,3.0,1.0,6.0,2.0
15783,Eagleville Brook,41.7882,-72.2776,3,3,107001502,3,5.837918,2.304063,0.0,0.0,6619.0,81634.0,3.0,12.3332829733,8.21342001653,0.06983130291,0.0,4.641,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
16064,Umpawaug Pond Brook,41.3169,-73.4443,4,1,102002798,3,5.19,2.31,1.0,0.0,6859.0,3940.0,0.0,0.57442775915,14.544258512999999,0.09341337347999999,0.0,0.0,0.0,0.0,0.19267822735999998,1.0,1.0,3.0,1.0,6.0,2.0
14866,Stickney Hill Brook,41.9833,-72.2179,2,4,107003475,3,4.967956,2.325279,0.0,0.0,6687.0,838.0,0.0,0.12531778077,1.0,0.02444766477,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16137,Indian River,41.2651,-73.0129,5,1,104002255,2,4.357146,2.329446,0.0,0.0,6702.0,94581.0,0.0,14.112354520999999,7.16359168661,0.06605578150000001,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
17448,Pequonnock River,41.3204,-73.2405,4,1,102002825,3,6.409044,2.34962,0.0,0.0,7001.0,60317.0,0.0,8.61548350236,11.774257817899999,0.08573486091,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
17398,Negro Hill Brook,41.7254,-72.95,2,1,105000061,2,6.01,2.35,0.0,0.0,6916.0,7678.0,0.0,1.11017929439,33.6321325102,0.14549219152,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15999,Silver Brook,41.2665,-73.0049,4,2,104002273,2,7.438549,2.417254,0.0,0.0,6955.0,112665.0,0.0,16.1991373113,6.35560019758,0.06504913915,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
16594,Cranberry Meadow Brook,41.405177,-72.225708,4,1,108001678,3,7.735486,2.477425,0.0,0.0,7142.0,3796.0,0.0,0.531504,2.156605,0.038884,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15520,Bonemill Brook,41.925,-72.3162,2,2,107002960,3,5.561781,2.486112,1.0,0.0,7164.0,1403.0,0.0,0.19584031267000002,2.38410596026,0.04107339018,0.0,0.0,0.0,0.0,0.17979852137000002,1.0,1.0,3.0,1.0,6.0,2.0
16121,Flat Brook,41.5544,-72.4523,2,2,106002283,2,5.3,2.49,0.0,0.0,7338.0,5681.0,0.0,0.77418915236,2.42550823213,0.04150981272,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15714,Cedar Swamp Brook,41.8164,-72.279,3,1,107001775,3,7.057708,2.566821,0.0,0.01,7387.0,28014.0,0.0,3.79233789089,25.4571751981,0.14075174302000001,0.01547,0.0,0.10990982895,0.0,0.0,2.0,2.0,1.0,1.0,6.0,2.0
15580,Town Farm Brook,41.5648,-73.3936,4,1,103013254,3,5.35,2.57,1.0,0.0,7602.0,25596.0,0.0,3.3670086819300002,0.07536908171000001,0.00750657852,0.0,0.0,0.0,0.0,0.18691588785,2.0,1.0,3.0,1.0,7.0,2.0
15997,Town Farm Brook,41.5562,-73.3912,4,2,103013254,3,5.35,2.57,1.0,0.0,7602.0,25596.0,0.0,3.3670086819300002,0.07536908171000001,0.00750657852,0.0,0.0,0.0,0.0,0.18691588785,2.0,1.0,3.0,1.0,7.0,2.0
14998,Still Brook,42.0192,-72.3127,4,1,107003689,3,6.304848,2.615374,0.0,0.0,7524.0,2911.0,0.0,0.38689526846999994,2.34280494729,0.04329760548,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16501,BELDEN BROOK,42.0122,-72.8775,3,1,105000840,3,5.2,2.64,0.0,0.0,7783.0,2298.0,0.0,0.2952588976,4.77075175985,0.0626575643,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16124,Flat Brook,41.938249,-73.321123,2,6,103004217,2,6.78,2.699151605,0.0,0.0,8034.0,1229.0,0.0,0.15297485685999998,0.0,0.00288040157,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
19698,Cove River,41.286443,-72.9741,5,1,104001905,3,7.101148,2.71141,3.0,0.0,7804.0,152535.0,0.0,19.5457457714,4.36935026425,0.061918475810000005,0.0,0.0,0.0,0.0,0.42246690254,3.0,1.0,3.0,1.0,8.0,2.0
15024,Wood Creek,41.6387,-73.2362,2,1,103011547,2,5.39,2.72,0.0,0.0,8065.0,3490.0,0.0,0.43273403596,1.87028100846,0.04053867911,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
15066,Patton Brook,41.6462,-72.8601,5,1,104000050,2,3.174278,2.736826,0.0,0.0,7866.0,102916.0,0.0,13.0836511569,48.757758074499996,0.21107142181,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
16299,Hunts brook,41.4293,-72.172,2,1,108001436,3,11.02027,2.738623,0.0,0.0,7870.0,1733.0,0.0,0.22020330368000002,4.74467182195,0.06533004516,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
16025,Muddy Brook,41.1276,-73.3294,5,1,102000737,3,7.62,2.74,0.0,0.0,8110.0,154611.0,0.0,19.0642416769,0.01649500949,0.0037744480100000005,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,6.0,2.0
16528,BRANCH BROOK,41.395779,-72.72126,3,1,104000640,3,10.170466,2.745081,1.0,6.64,7908.0,595.0,0.0,0.07524026302,0.3728123141,0.01819321546,10.273598236,0.0,564.693924557,0.0,0.09832391161000001,1.0,3.0,2.0,1.0,7.0,2.0
16110,Mott Hill Brook,41.6615,-72.5365,3,5,106002799,2,4.49,2.81,0.0,0.0,8117.0,2591.0,0.0,0.31920660343,7.47330960854,0.08473499895,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0
